Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.043267,0.043267
CYL1,Cylindricity,0.0,0.04,-0.04,0.019966,0.019966
FLAT1,Flatness,0.0,0.03,-0.03,0.018828,0.018828
STR1,Straightness,0.0,0.025,-0.025,0.004787,0.004787
POS1,Position,0.0,0.1,-0.1,0.043168,0.043168
CON1,Concentricity,0.0,0.06,-0.06,0.030908,0.030908
DIA1,Diameter,25.0,0.05,-0.05,25.031966,0.031966
ANG1,Angularity,0.0,0.05,-0.05,0.010234,0.010234
PERP1,Perpendicularity,0.0,0.04,-0.04,0.024944,0.024944
PAR1,Parallelism,0.0,0.03,-0.03,0.015957,0.015957
RUN1,Runout,0.0,0.05,-0.05,0.031735,0.031735
TRUN1,Total Runout,0.0,0.06,-0.06,0.035411,0.035411
POL1,Profile of a Line,0.0,0.08,-0.08,0.038625,0.038625
POS2,Profile of a Surface,0.0,0.1,-0.1,0.042654,0.042654
