Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.021828,0.021828
CYL1,Cylindricity,0.0,0.04,-0.04,0.026373,0.026373
FLAT1,Flatness,0.0,0.03,-0.03,0.016112,0.016112
STR1,Straightness,0.0,0.025,-0.025,0.010008,0.010008
POS1,Position,0.0,0.1,-0.1,0.027129,0.027129
CON1,Concentricity,0.0,0.06,-0.06,0.033055,0.033055
DIA1,Diameter,25.0,0.05,-0.05,25.012957,0.012957
ANG1,Angularity,0.0,0.05,-0.05,0.015533,0.015533
PERP1,Perpendicularity,0.0,0.04,-0.04,0.015111,0.015111
PAR1,Parallelism,0.0,0.03,-0.03,0.014232,0.014232
RUN1,Runout,0.0,0.05,-0.05,0.006153,0.006153
TRUN1,Total Runout,0.0,0.06,-0.06,0.032247,0.032247
POL1,Profile of a Line,0.0,0.08,-0.08,0.040087,0.040087
POS2,Profile of a Surface,0.0,0.1,-0.1,0.041648,0.041648
