Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.029539,0.029539
CYL1,Cylindricity,0.0,0.04,-0.04,0.004681,0.004681
FLAT1,Flatness,0.0,0.03,-0.03,0.014764,0.014764
STR1,Straightness,0.0,0.025,-0.025,0.00837,0.00837
POS1,Position,0.0,0.1,-0.1,0.045021,0.045021
CON1,Concentricity,0.0,0.06,-0.06,0.032192,0.032192
DIA1,Diameter,25.0,0.05,-0.05,25.021124,0.021124
ANG1,Angularity,0.0,0.05,-0.05,0.007726,0.007726
PERP1,Perpendicularity,0.0,0.04,-0.04,0.01205,0.01205
PAR1,Parallelism,0.0,0.03,-0.03,0.016863,0.016863
RUN1,Runout,0.0,0.05,-0.05,0.030108,0.030108
TRUN1,Total Runout,0.0,0.06,-0.06,0.046128,0.046128
POL1,Profile of a Line,0.0,0.08,-0.08,0.059638,0.059638
POS2,Profile of a Surface,0.0,0.1,-0.1,0.018111,0.018111
