Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.032954,0.032954
CYL1,Cylindricity,0.0,0.04,-0.04,0.021412,0.021412
FLAT1,Flatness,0.0,0.03,-0.03,0.028651,0.028651
STR1,Straightness,0.0,0.025,-0.025,0.009871,0.009871
POS1,Position,0.0,0.1,-0.1,0.054305,0.054305
CON1,Concentricity,0.0,0.06,-0.06,0.030768,0.030768
DIA1,Diameter,25.0,0.05,-0.05,25.016225,0.016225
ANG1,Angularity,0.0,0.05,-0.05,0.038213,0.038213
PERP1,Perpendicularity,0.0,0.04,-0.04,0.02804,0.02804
PAR1,Parallelism,0.0,0.03,-0.03,0.006003,0.006003
RUN1,Runout,0.0,0.05,-0.05,0.018201,0.018201
TRUN1,Total Runout,0.0,0.06,-0.06,0.032855,0.032855
POL1,Profile of a Line,0.0,0.08,-0.08,0.047398,0.047398
POS2,Profile of a Surface,0.0,0.1,-0.1,0.029425,0.029425
