Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.024442,0.024442
CYL1,Cylindricity,0.0,0.04,-0.04,0.009147,0.009147
FLAT1,Flatness,0.0,0.03,-0.03,0.011374,0.011374
STR1,Straightness,0.0,0.025,-0.025,0.010245,0.010245
POS1,Position,0.0,0.1,-0.1,0.07267,0.07267
CON1,Concentricity,0.0,0.06,-0.06,0.036491,0.036491
DIA1,Diameter,25.0,0.05,-0.05,25.026272,0.026272
ANG1,Angularity,0.0,0.05,-0.05,0.017009,0.017009
PERP1,Perpendicularity,0.0,0.04,-0.04,0.02302,0.02302
PAR1,Parallelism,0.0,0.03,-0.03,0.007303,0.007303
RUN1,Runout,0.0,0.05,-0.05,0.023184,0.023184
TRUN1,Total Runout,0.0,0.06,-0.06,0.032769,0.032769
POL1,Profile of a Line,0.0,0.08,-0.08,0.028803,0.028803
POS2,Profile of a Surface,0.0,0.1,-0.1,0.08299,0.08299
