Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.02255,0.02255
CYL1,Cylindricity,0.0,0.04,-0.04,0.017299,0.017299
FLAT1,Flatness,0.0,0.03,-0.03,0.021508,0.021508
STR1,Straightness,0.0,0.025,-0.025,0.009966,0.009966
POS1,Position,0.0,0.1,-0.1,0.078614,0.078614
CON1,Concentricity,0.0,0.06,-0.06,0.024021,0.024021
DIA1,Diameter,25.0,0.05,-0.05,25.020804,0.020804
ANG1,Angularity,0.0,0.05,-0.05,0.018564,0.018564
PERP1,Perpendicularity,0.0,0.04,-0.04,0.014856,0.014856
PAR1,Parallelism,0.0,0.03,-0.03,0.013312,0.013312
RUN1,Runout,0.0,0.05,-0.05,0.019022,0.019022
TRUN1,Total Runout,0.0,0.06,-0.06,0.030822,0.030822
POL1,Profile of a Line,0.0,0.08,-0.08,0.01274,0.01274
POS2,Profile of a Surface,0.0,0.1,-0.1,0.083039,0.083039
