Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.040625,0.040625
CYL1,Cylindricity,0.0,0.04,-0.04,0.015488,0.015488
FLAT1,Flatness,0.0,0.03,-0.03,0.019965,0.019965
STR1,Straightness,0.0,0.025,-0.025,0.01046,0.01046
POS1,Position,0.0,0.1,-0.1,0.037256,0.037256
CON1,Concentricity,0.0,0.06,-0.06,0.017844,0.017844
DIA1,Diameter,25.0,0.05,-0.05,25.016792,0.016792
ANG1,Angularity,0.0,0.05,-0.05,0.031963,0.031963
PERP1,Perpendicularity,0.0,0.04,-0.04,0.023898,0.023898
PAR1,Parallelism,0.0,0.03,-0.03,0.016444,0.016444
RUN1,Runout,0.0,0.05,-0.05,0.004369,0.004369
TRUN1,Total Runout,0.0,0.06,-0.06,0.035399,0.035399
POL1,Profile of a Line,0.0,0.08,-0.08,0.04467,0.04467
POS2,Profile of a Surface,0.0,0.1,-0.1,0.042201,0.042201
