Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.029136,0.029136
CYL1,Cylindricity,0.0,0.04,-0.04,0.021442,0.021442
FLAT1,Flatness,0.0,0.03,-0.03,0.008499,0.008499
STR1,Straightness,0.0,0.025,-0.025,0.014534,0.014534
POS1,Position,0.0,0.1,-0.1,0.046318,0.046318
CON1,Concentricity,0.0,0.06,-0.06,0.034298,0.034298
DIA1,Diameter,25.0,0.05,-0.05,25.028193,0.028193
ANG1,Angularity,0.0,0.05,-0.05,0.026265,0.026265
PERP1,Perpendicularity,0.0,0.04,-0.04,0.020719,0.020719
PAR1,Parallelism,0.0,0.03,-0.03,0.023764,0.023764
RUN1,Runout,0.0,0.05,-0.05,0.022706,0.022706
TRUN1,Total Runout,0.0,0.06,-0.06,0.026336,0.026336
POL1,Profile of a Line,0.0,0.08,-0.08,0.039344,0.039344
POS2,Profile of a Surface,0.0,0.1,-0.1,0.074724,0.074724
