Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.015784,0.015784
CYL1,Cylindricity,0.0,0.04,-0.04,0.012556,0.012556
FLAT1,Flatness,0.0,0.03,-0.03,0.006215,0.006215
STR1,Straightness,0.0,0.025,-0.025,0.012574,0.012574
POS1,Position,0.0,0.1,-0.1,0.010316,0.010316
CON1,Concentricity,0.0,0.06,-0.06,0.025,0.025
DIA1,Diameter,25.0,0.05,-0.05,25.021599,0.021599
ANG1,Angularity,0.0,0.05,-0.05,0.032654,0.032654
PERP1,Perpendicularity,0.0,0.04,-0.04,0.019428,0.019428
PAR1,Parallelism,0.0,0.03,-0.03,0.018006,0.018006
RUN1,Runout,0.0,0.05,-0.05,0.018207,0.018207
TRUN1,Total Runout,0.0,0.06,-0.06,0.0223,0.0223
POL1,Profile of a Line,0.0,0.08,-0.08,0.029907,0.029907
POS2,Profile of a Surface,0.0,0.1,-0.1,0.075437,0.075437
