Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.031156,0.031156
CYL1,Cylindricity,0.0,0.04,-0.04,0.004586,0.004586
FLAT1,Flatness,0.0,0.03,-0.03,0.020068,0.020068
STR1,Straightness,0.0,0.025,-0.025,0.011013,0.011013
POS1,Position,0.0,0.1,-0.1,0.027882,0.027882
CON1,Concentricity,0.0,0.06,-0.06,0.046089,0.046089
DIA1,Diameter,25.0,0.05,-0.05,25.023152,0.023152
ANG1,Angularity,0.0,0.05,-0.05,0.008762,0.008762
PERP1,Perpendicularity,0.0,0.04,-0.04,0.020761,0.020761
PAR1,Parallelism,0.0,0.03,-0.03,0.009344,0.009344
RUN1,Runout,0.0,0.05,-0.05,0.021779,0.021779
TRUN1,Total Runout,0.0,0.06,-0.06,0.024813,0.024813
POL1,Profile of a Line,0.0,0.08,-0.08,0.054482,0.054482
POS2,Profile of a Surface,0.0,0.1,-0.1,0.028227,0.028227
