Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.019981,0.019981
CYL1,Cylindricity,0.0,0.04,-0.04,0.017984,0.017984
FLAT1,Flatness,0.0,0.03,-0.03,0.020624,0.020624
STR1,Straightness,0.0,0.025,-0.025,0.00578,0.00578
POS1,Position,0.0,0.1,-0.1,0.038583,0.038583
CON1,Concentricity,0.0,0.06,-0.06,0.040256,0.040256
DIA1,Diameter,25.0,0.05,-0.05,25.014431,0.014431
ANG1,Angularity,0.0,0.05,-0.05,0.01945,0.01945
PERP1,Perpendicularity,0.0,0.04,-0.04,0.019587,0.019587
PAR1,Parallelism,0.0,0.03,-0.03,0.006794,0.006794
RUN1,Runout,0.0,0.05,-0.05,0.02254,0.02254
TRUN1,Total Runout,0.0,0.06,-0.06,0.018113,0.018113
POL1,Profile of a Line,0.0,0.08,-0.08,0.048622,0.048622
POS2,Profile of a Surface,0.0,0.1,-0.1,0.051051,0.051051
