Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.034922,0.034922
CYL1,Cylindricity,0.0,0.04,-0.04,0.02126,0.02126
FLAT1,Flatness,0.0,0.03,-0.03,0.002215,0.002215
STR1,Straightness,0.0,0.025,-0.025,0.00986,0.00986
POS1,Position,0.0,0.1,-0.1,0.065973,0.065973
CON1,Concentricity,0.0,0.06,-0.06,0.047139,0.047139
DIA1,Diameter,25.0,0.05,-0.05,25.022493,0.022493
ANG1,Angularity,0.0,0.05,-0.05,0.024165,0.024165
PERP1,Perpendicularity,0.0,0.04,-0.04,0.011559,0.011559
PAR1,Parallelism,0.0,0.03,-0.03,0.008784,0.008784
RUN1,Runout,0.0,0.05,-0.05,0.021328,0.021328
TRUN1,Total Runout,0.0,0.06,-0.06,0.033529,0.033529
POL1,Profile of a Line,0.0,0.08,-0.08,0.044962,0.044962
POS2,Profile of a Surface,0.0,0.1,-0.1,0.043349,0.043349
