Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.01893,0.01893
CYL1,Cylindricity,0.0,0.04,-0.04,0.030507,0.030507
FLAT1,Flatness,0.0,0.03,-0.03,0.011202,0.011202
STR1,Straightness,0.0,0.025,-0.025,0.00668,0.00668
POS1,Position,0.0,0.1,-0.1,0.039407,0.039407
CON1,Concentricity,0.0,0.06,-0.06,0.036589,0.036589
DIA1,Diameter,25.0,0.05,-0.05,25.012522,0.012522
ANG1,Angularity,0.0,0.05,-0.05,0.025373,0.025373
PERP1,Perpendicularity,0.0,0.04,-0.04,0.023367,0.023367
PAR1,Parallelism,0.0,0.03,-0.03,0.016746,0.016746
RUN1,Runout,0.0,0.05,-0.05,0.030798,0.030798
TRUN1,Total Runout,0.0,0.06,-0.06,0.024046,0.024046
POL1,Profile of a Line,0.0,0.08,-0.08,0.051593,0.051593
POS2,Profile of a Surface,0.0,0.1,-0.1,0.038314,0.038314
