INSERT_PART_NUMBER_AND_NAME_HERE
20-Mar-2026 13:05
(in),ACTUAL,NOMINAL,LO-TOL,HI-TOL,DEVIATION,GRAPHIC,ERROR,
 
Circle:CIR001
X-axis,0.0000,0.0000,,,0.0000,
Z-axis,-1.2598,-1.2598,,,0.0000,
X-axis,0.0000,0.0000,-0.0039,+0.0039,0.0000,---*---,
Circ. Runout,0.0000,0.0039,DAT(A),DAT(A),,*---,
Total Runout,0.0000,0.0039,DAT(A),DAT(A),,*---,
Circularity,0.0000,0.0039,,,,*---,
Diameter,1.2598,1.2598,-0.0039,+0.0039,0.0000,---*---,
Radius,0.6299,0.6299,-0.0039,+0.0039,0.0000,---*---,
TruePosition2D,0.0000,0.0039,,,,*---,
Concentricity,2.5197,0.0039,DAT(A),,,+-->,2.5158,
                                                                                
Curve:CUR001
Surf-Profile,-0.0001,0.0004,-0.0039,+0.0039,,---*---,

     Nom.X,    Nom.Y,    Nom.Z,    Act.X,    Act.Y,    Act.Z,    Dev,
0.5906,0.0299,-2.9724,0.5913,0.0299,-2.9724,0.0000,
0.4697,0.0299,-2.9724,0.4702,0.0299,-2.9724,0.0000,
0.3488,0.0299,-2.9724,0.3491,0.0299,-2.9724,0.0000,
0.2279,0.0299,-2.9724,0.2280,0.0299,-2.9725,0.0000,
0.1070,0.0299,-2.9724,0.1069,0.0299,-2.9725,0.0000,
-0.0139,0.0299,-2.9724,-0.0159,0.0299,-2.9724,0.0001,
-0.1348,0.0299,-2.9724,-0.1353,0.0299,-2.9724,0.0001,
-0.2557,0.0299,-2.9724,-0.2580,0.0299,-2.9725,-0.0001,
-0.3766,0.0299,-2.9724,-0.3774,0.0299,-2.9724,0.0000,
-0.4975,0.0299,-2.9724,-0.5002,0.0299,-2.9726,-0.0001,
-0.6184,0.0299,-2.9715,-0.6262,0.0299,-2.9707,0.0002,
-0.7358,0.0299,-2.9447,-0.7383,0.0299,-2.9436,0.0001,
-0.8396,0.0299,-2.8836,-0.8415,0.0299,-2.8822,-0.0001,
-0.9201,0.0299,-2.7941,-0.9213,0.0299,-2.7922,0.0001,
-0.9698,0.0299,-2.6844,-0.9703,0.0299,-2.6824,0.0000,
-0.9840,0.0299,-2.5648,-0.9839,0.0299,-2.5630,0.0000,
-0.9614,0.0299,-2.4465,-0.9608,0.0299,-2.4450,0.0000,
-0.9041,0.0299,-2.3406,-0.9032,0.0299,-2.3395,0.0000,
-0.8174,0.0299,-2.2570,-0.8164,0.0299,-2.2562,0.0000,
-0.7096,0.0299,-2.2035,-0.7086,0.0299,-2.2033,0.0001,
-0.5906,0.0299,-2.1850,-0.5981,0.0299,-2.1853,0.0003,
-0.4697,0.0299,-2.1850,-0.4686,0.0299,-2.1850,0.0000,
-0.3488,0.0299,-2.1850,-0.3492,0.0299,-2.1851,0.0001,
-0.2279,0.0299,-2.1850,-0.2264,0.0299,-2.1850,0.0000,
-0.1070,0.0299,-2.1850,-0.1070,0.0299,-2.1851,0.0000,
0.0139,0.0299,-2.1850,0.0158,0.0299,-2.1850,0.0000,
0.1348,0.0299,-2.1850,0.1352,0.0299,-2.1851,0.0000,
0.2557,0.0299,-2.1850,0.2580,0.0299,-2.1850,-0.0001,
0.3766,0.0299,-2.1850,0.3774,0.0299,-2.1851,0.0000,
0.4975,0.0299,-2.1850,0.5002,0.0299,-2.1849,-0.0001,
0.6184,0.0299,-2.1860,0.6262,0.0299,-2.1868,0.0002,
0.7358,0.0299,-2.2128,0.7382,0.0299,-2.2138,0.0001,
0.8396,0.0299,-2.2738,0.8415,0.0299,-2.2753,-0.0001,
0.9201,0.0299,-2.3634,0.9213,0.0299,-2.3653,0.0001,
0.9698,0.0299,-2.4731,0.9703,0.0299,-2.4750,0.0000,
0.9840,0.0299,-2.5927,0.9839,0.0299,-2.5944,0.0001,
0.9614,0.0299,-2.7110,0.9608,0.0299,-2.7125,0.0000,
0.9041,0.0299,-2.8169,0.9043,0.0299,-2.8166,0.0000,
0.8174,0.0299,-2.9005,0.8179,0.0299,-2.9003,-0.0001,
0.7096,0.0299,-2.9540,0.7103,0.0299,-2.9534,0.0004,
0.5906,0.0299,-2.9724,0.5913,0.0299,-2.9724,0.0000,
Line-Profile,-0.0001,0.0004,-0.0039,+0.0039,,---*---,

     Nom.X,    Nom.Y,    Nom.Z,    Act.X,    Act.Y,    Act.Z,    Dev,
0.5906,0.0299,-2.9724,0.5913,0.0299,-2.9724,0.0000,
